Rank   Event          Stage          Round          Matches  Match Code                          Match ID
--------------------------------------------------------------------------------------------------------------

--- Global Round 1 ---
80     Women's B      WF             WF R2          16       WOM_WOM_E12_WF_R2_W08               1224
81     Women's B      WF             WF R2          16       WOM_WOM_E12_WF_R2_L01               1225
82     Women's B      WF             WF R2          16       WOM_WOM_E12_WF_R2_L02               1226
83     Women's B      WF             WF R2          16       WOM_WOM_E12_WF_R2_L03               1227
84     Women's B      WF             WF R2          16       WOM_WOM_E12_WF_R2_L04               1228
85     Women's B      WF             WF R2          16       WOM_WOM_E12_WF_R2_L05               1229
86     Women's B      WF             WF R2          16       WOM_WOM_E12_WF_R2_L06               1230
87     Women's B      WF             WF R2          16       WOM_WOM_E12_WF_R2_L07               1231
88     Women's B      WF             WF R2          16       WOM_WOM_E12_WF_R2_L08               1232
89     Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_W01               1297
90     Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_W02               1298
91     Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_W03               1299
92     Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_W04               1300
93     Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_W05               1301
94     Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_W06               1302
95     Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_W07               1303
96     Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_W08               1304
97     Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_L01               1305
98     Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_L02               1306
99     Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_L03               1307
100    Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_L04               1308
101    Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_L05               1309
102    Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_L06               1310
103    Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_L07               1311
104    Women's C      WF             WF R2          16       WOM_WOM_E13_WF_R2_L08               1312
105    Mixed A        WF             WF R2          8        MIX_MIX_E10_WF_R2_W01               1041
106    Mixed A        WF             WF R2          8        MIX_MIX_E10_WF_R2_W02               1042
107    Mixed A        WF             WF R2          8        MIX_MIX_E10_WF_R2_W03               1043
108    Mixed A        WF             WF R2          8        MIX_MIX_E10_WF_R2_W04               1044
109    Mixed A        WF             WF R2          8        MIX_MIX_E10_WF_R2_L01               1045
110    Mixed A        WF             WF R2          8        MIX_MIX_E10_WF_R2_L02               1046
111    Mixed A        WF             WF R2          8        MIX_MIX_E10_WF_R2_L03               1047
112    Mixed A        WF             WF R2          8        MIX_MIX_E10_WF_R2_L04               1048

--- Global Round 3 ---
113    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BWW_M1                  1089
114    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BWW_M2                  1090
115    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BWW_M3                  1091
116    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BWW_M4                  1092
117    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BWL_M1                  1101
118    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BWL_M2                  1102
119    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BWL_M3                  1103
120    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BWL_M4                  1104
121    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BLW_M1                  1113
122    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BLW_M2                  1114
123    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BLW_M3                  1115
124    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BLW_M4                  1116
125    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BLL_M1                  1125
126    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BLL_M2                  1126
127    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BLL_M3                  1127
128    Women's A      MAIN           MAIN QF        16       WOM_WOM_E11_BLL_M4                  1128
129    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BWW_M1                  1169
130    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BWW_M2                  1170
131    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BWW_M3                  1171
132    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BWW_M4                  1172
133    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BWL_M1                  1181
134    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BWL_M2                  1182
135    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BWL_M3                  1183
136    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BWL_M4                  1184
137    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BLW_M1                  1193
138    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BLW_M2                  1194
139    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BLW_M3                  1195
